,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
159,MGDDF,Compagnie Générale des Établissements Michelin Société en commandite par actions,27683201000,2,4.836144578,3,1,8,3,2,4,3.5083582,FALSE
160,MGDDY,Compagnie Générale des Établissements Michelin Société en commandite par actions,27683201000,2,4.821686747,3,2,8,3,2,4,3.519232,FALSE
161,MURGY,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,59006841000,3,4.837349398,3,3,4,6,4,8,3.6516562,FALSE
162,TTNDY,Techtronic Industries Company Limited,24828166100,5,4.76626506,4,2,6,3,3,10,1.680389,FALSE
163,NGL,NGL Energy Partners LP Common Units,764598660,3,4.845783133,5,1,3,2,10,5,,FALSE
164,VTGN,"Vistagen Therapeutics, Inc.",128099488,4.75,4.759036145,3.66667,1,2,2,6,7,,FALSE
165,POST,"Post Holdings, Inc.",6360605200,4,4.772289157,3.5,1,2,2,7,8,,FALSE
166,TPH,"Tri Pointe Homes, Inc.",3553157890,3.875,4.779518072,,1,8,3,7,4,,FALSE
55,DLNG,Dynagas LNG Partners LP Common Units,135931376,5,4.892771084,4,1,4,2,5,4,,TRUE
168,QTWO,"Q2 Holdings, Inc.",3108947710,4.23529,4.806024096,4,3,2,1,8,9,,FALSE
169,VIRT,"Virtu Financial, Inc.",2135275010,3.77778,4.780722892,,2,6,2,8,6,4.3656206,FALSE
170,SYF,Synchrony Financial,17651859500,3.55556,4.842168675,3,4,6,1,1,3,2.2292993,FALSE
171,NTRA,"Natera, Inc.",11509042200,4.41176,4.824096386,4,4,7,2,6,10,,FALSE
172,OKTA,"Okta, Inc.",15624851500,3.70732,4.85060241,3.42857,3,1,3,3,9,,FALSE
173,VLVLY,AB Volvo (publ),53158937000,2,4.848192771,3,2,4,5,2,2,6.486099,FALSE
174,ACMR,"ACM Research, Inc.",1545254020,4.42857,4.874698795,4,4,3,1,10,5,,FALSE
421,FRFHF,Fairfax Financial Holdings Limited,25413834800,3.85714,4.459619952,4,5,2,2,5,6,1.3482358,TRUE
176,VCTR,"Victory Capital Holdings, Inc.",3249492990,3.55556,4.840963855,4,3,4,1,3,10,2.5668979,FALSE
177,TCNNF,Trulieve Cannabis Corp.,2253099520,4.8,4.809638554,3,8,4,1,3,8,,FALSE
178,DASH,"DoorDash, Inc.",51494375000,4.02632,4.775903614,3.5,3,2,1,5,11,,FALSE
179,BCSF,"Bain Capital Specialty Finance, Inc.",1088519810,3,4.856626506,4,1,4,4,2,2,9.727165,FALSE
180,WF,Woori Financial Group Inc.,7551009800,5,4.86746988,4,1,8,6,6,1,7.1884174,FALSE
181,AZEK,The AZEK Company Inc.,6664251900,4.45,4.860240964,3,1,4,2,4,11,,FALSE
46,FNMA,Federal National Mortgage Association,8723036200,4,4.997590361,4,6,4,1,1,1,,TRUE
183,CLBT,Cellebrite DI Ltd.,2206494460,4.75,4.834939759,4.5,1,2,2,4,10,,FALSE
184,BWMX,"Betterware de México, S.A.P.I. de C.V.",624263100,5,4.825301205,3,2,8,2,3,2,7.0663114,FALSE
185,HIPO,Hippo Holdings Inc.,536477728,4,4.769879518,,6,1,1,6,11,,FALSE
186,DFH,"Dream Finders Homes, Inc.",3342348800,3,4.869879518,4,2,7,1,4,6,,FALSE
187,DSP,Viant Technology Inc.,516211008,4,4.865060241,4,2,3,2,7,2,,FALSE
188,CTV,Innovid Corp.,297144096,3.66667,4.793975904,,4,1,1,10,9,,FALSE
189,TSCDY,Tesco PLC,26158663700,3,4.830120482,3.5,2,5,4,3,3,3.647467,FALSE
190,LVTX,LAVA Therapeutics N.V.,78078592,4.5,4.76746988,,4,7,1,7,5,,FALSE
191,ZENV,Zenvia Inc.,100221384,3,4.862650602,4,6,5,1,3,2,,FALSE
192,VERA,"Vera Therapeutics, Inc.",2304409860,4.6,4.872289157,3,6,5,1,9,8,,FALSE
193,CNM,"Core & Main, Inc.",11486203900,3.8,4.875903614,4,3,6,1,3,9,,FALSE
307,FRO,Frontline plc,5207149600,4.55556,4.538554217,3.66667,3,2,3,4,4,9.277469,TRUE
195,PRM,"Perimeter Solutions, SA",1007966400,3.5,4.84939759,,2,2,2,3,9,,FALSE
196,DTRUY,Daimler Truck Holding AG,36386816000,5,4.873493976,3,2,7,3,7,4,3.1345017,FALSE
197,MPTI,"M-tron Industries, Inc.",75141848,,4.813253012,,1,2,1,3,4,,FALSE
198,SKWD,"Skyward Specialty Insurance Group, Inc.",1419823490,4.375,4.857831325,,2,2,1,5,8,,FALSE
199,COYA,"Coya Therapeutics, Inc.",126600832,5,4.820481928,4.5,8,1,2,10,8,,FALSE
200,TGT,Target Corporation,72369545000,3.85714,4.697590361,3.42857,4,6,3,1,7,2.7999744,FALSE
201,KO,The Coca-Cola Company,2.66794E+11,4.24,4.678313253,3.53846,5,9,6,1,11,3.0114646,FALSE
202,KFY,Korn Ferry,3192387070,4.4,4.696385542,4,1,2,5,7,8,1.6672115,FALSE
203,TMICY,Trend Micro Incorporated,6791491600,2,4.674698795,,1,7,6,2,2,9.742238,FALSE
204,COF,Capital One Financial Corporation,54120645000,3.42105,4.657831325,3.8,8,2,2,1,4,1.6944366,FALSE
205,CAT,Caterpillar Inc.,1.61911E+11,3.3,4.756626506,3.5,4,7,4,1,9,1.5706648,FALSE
206,KR,The Kroger Co.,39526842000,3.625,4.710843373,3.6,4,9,3,2,6,2.0631733,FALSE
207,GBX,"The Greenbrier Companies, Inc.",1542538240,4,4.742168675,3,1,3,3,10,5,2.421796,FALSE
208,NVR,"NVR, Inc.",23620978700,3.66667,4.708433735,4,2,9,3,2,10,,FALSE
209,DCI,"Donaldson Company, Inc.",8717131800,3,4.644578313,3.5,2,9,5,3,11,1.380834,FALSE
210,BK,The Bank of New York Mellon Corporation,42221691000,3.94444,4.73253012,3.5,3,3,3,3,9,2.9755578,FALSE
211,AMG,"Affiliated Managers Group, Inc.",5148891100,4.14286,4.642168675,4,1,7,5,4,11,0.025214322,FALSE
212,LAUR,"Laureate Education, Inc.",2299233790,4.33333,4.698795181,,2,3,4,3,7,,FALSE
213,DKS,"DICK'S Sporting Goods, Inc.",16334663700,3.68966,4.730120482,3,3,2,1,3,10,2.0694528,FALSE
39,GAU,Galiano Gold Inc.,422988320,3.75,4.972289157,4,5,1,1,6,2,,TRUE
215,COR,"Cencora, Inc.",45672591000,4.05556,4.734939759,4,3,6,4,1,7,0.8682374,FALSE
216,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,10641944600,4.5,4.738554217,,1,3,1,5,9,1.7054063,FALSE
217,CMPR,Cimpress plc,2245464580,4.5,4.661445783,,2,3,4,6,8,,FALSE
